Project	Variant_Count	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94
lusc_tcga_pub	436.7560975609756	0.014942727246354644	0.030474906060204646	0.012018934356250994	0.10669201307072271	0.008234070040266392	0.0070259427639779585	0.011179460735800098	0.009093629660590501	0.0	0.0	0.0	0.0	0.0	0.014660030240142223	0.0	0.0	0.0	0.0	0.048739204785016574	0.001622145428021751	0.016613380376759142	0.0012514466988543488	0.0	0.0	0.008986957233222582	0.0011804415204212015	0.012948341048603831	0.0019716698089590075	0.003926629386793416	0.0	0.06085178477027242	0.00835623126515247	0.0011466343380721862	0.0	0.0	0.013610205991864455	0.002336630271694131	0.005477749981006467	0.0007123208983363382	0.0	0.0	0.0042019079395028336	0.0	0.0	0.008717654661338057	0.043080598672494856	0.008189094016102681	0.0	0.001188464933836513	0.0	0.003093181143500056	0.0	0.001303162625771556	0.0	0.008923840665748847	0.1488568234179801	0.001788395477540009	0.0	0.0	0.0067871591296910505	0.010476798437935751	0.0	0.0	0.0	0.0032015765941095084	0.0	0.0	0.000897432686730309	0.0	0.004654489553620166	0.0322773711097182	0.0	0.003955522906866634	0.0	0.0	0.010250051359302967	0.0	0.0017594197543878535
lymphoma_cellline_msk_2020	29.705882352941178	0.0790118997527937	0.007459271200396824	0.0068269829054402945	0.0	0.006576963368846435	0.06965312122660756	0.004640063272321324	0.02077810291716196	0.00261782100808355	0.0038339685712508232	0.0	0.0	0.0023083233948481973	0.015317922859159293	0.0	0.0	0.008311382409813477	0.010748450786339278	0.0	0.0	0.059950088222939506	0.007165731925771917	0.004639633350553512	0.0019444123213972148	0.002514231618591853	0.008953320572592797	0.006247582314152426	0.02050752932380941	0.012991590822798247	0.013227768494652212	0.008127457414218353	0.012344014189591648	0.008655030613642058	0.007692424627970444	0.0	0.0	0.03643473193277722	0.006727834669006735	0.028125847782407853	0.0	0.0	0.004291205640339697	0.0	0.0020227358141599767	0.0	0.011861440020026414	0.0	0.0073242593118521765	0.012735687137369934	0.0	0.008730060158168093	0.0	0.01879156819178495	0.0	0.0017697347674827206	0.0	0.008057609297027993	0.01851962303273122	0.0059299335238623884	0.008331512036051161	0.02841804400437533	0.0021794742380066676	0.0	0.0	0.014255851291837726	0.007486944276921418	0.0	0.022989767767847204	0.0	0.05936396060640369	0.11348330723547811	0.012722725569941792	0.002681750683093153	0.0	0.0	0.0	0.0	0.0
mbc_msk_2021	25.555555555555557	0.004942553272865211	0.0	0.011868130452596166	0.0	0.014099298532275666	0.010614908303120611	0.004706699688471378	0.015163608148959222	0.015890204962115555	0.023303316848566	0.0	0.0	0.0	0.003553988894701456	0.0	0.0	0.0	0.0	0.0	0.011709473717722721	0.04283160102438117	0.0	0.0	0.013570474307479055	0.005634399171973333	0.08976745495410421	0.02868247368887361	0.0062519729563375	0.0211609239021265	0.0	0.02129490281423539	0.0	0.0	0.0	0.0033897920909057	0.005457243860781256	0.05853576642661192	0.005795907704175611	0.0	0.0	0.0	0.007348515640438833	0.0	0.0	0.0	0.07911153289201575	0.0	0.0	0.011142129487789006	0.0	0.019302582153869402	0.0	0.003496589630829839	0.0	0.03470817007113072	0.0	0.021858976633854346	0.008871981120862222	0.0	0.0	0.03953367151568728	0.0	0.0	0.0	0.05502674628625442	0.0	0.0	0.0	0.0	0.04481816520078194	0.13076628592711195	0.029787207644913556	0.012356277323631334	0.0	0.0	0.0	0.0	0.007378620844218777
mbl_broad_2012	18.42391304347826	0.15386748099392222	0.0016425180072470891	0.004474376665209065	0.0025998613625449023	0.0	0.08315796032776267	0.0015480087190940762	0.0032770905111046073	0.0	0.006300981501998537	0.001210169848908413	0.0007944822904454859	0.01160676156149346	0.046142150812550596	0.0	0.007419433006313097	0.003149009587579562	0.0	0.0	0.014177054788320929	0.09854087007543262	0.0011065474706450653	0.008056865113546972	0.0009665290932650978	0.010687233316292092	0.014474445041037511	0.009565313851260651	0.0033989554377971284	0.0029995457943524173	0.00723858753066091	0.025125422234653895	0.0	0.0010690232122772564	0.0018315833113581076	0.001948746535346628	0.006755362504093099	0.00218749517883825	0.015488831478607685	0.008238226333795992	0.0	0.0	0.0	0.0006836831603911902	0.0007620363808181489	0.010594335309390487	0.004171479009106	0.0	0.0	0.010779069602527032	0.008882968380904367	0.0	0.001462620568543261	0.008985311350148005	0.0	0.008301954069972136	0.04856914104191135	0.003351442462905001	0.004427354107083357	0.014403786086544692	0.010432436542243618	0.0036484499161465373	0.009669889754208032	0.002707473064177239	0.005771218819452434	0.003979508114368286	0.021970218508671816	0.016391379495411938	0.011260667658549143	0.0	0.007955619534622782	0.15292810539371549	0.002071526685204649	0.0	0.0	0.002094934130552717	0.0	0.0015303104204778587	0.0
mbl_dkfz_2017	4.386699507389163	0.04049212909290681	0.0021684193667592367	0.003324203779063015	0.007251558543002559	0.0	0.03461840239064132	0.0011186207299528105	0.01902163850118934	0.00951005777038975	0.005494447088863899	0.0028888549265306852	0.0023797849347496083	0.025301529089839406	0.06911084694782868	0.0008388034021078227	0.0029822195712778544	0.003708349414602626	0.0	0.0	0.00808428873735155	0.10708450466477255	0.006520582041599232	0.005566318868350338	0.007045376215567547	0.015309500931952769	0.04188500360336762	0.01589024730004011	0.005540505394113445	0.02074539050282211	0.004558839400439035	0.0180866905151455	0.0011007172328406257	0.005703711041346792	0.001379059238861106	0.00042183091116934976	0.005630085691886926	0.025427646463810464	0.005721570363920601	0.009161305167795534	0.0	0.0	0.0025940943497071013	0.00042516878121999263	0.0015896347493778275	0.013034871635573443	0.019879886103771244	0.0014677667051105864	0.0009453618219144902	0.009776056404466927	0.006452031616996798	0.01518103914276519	0.00016300633537532735	0.008449525429637814	0.0025666044546072218	0.006167837310729633	0.00018259823257787733	0.018418234024093868	0.012215489369016789	0.014081436772516859	0.011178209861446737	0.00847003967120073	0.0	0.0	0.0035457796253262636	0.016913669489319497	0.018165175214761527	0.017199215128777832	0.014590539462972948	0.0012668393854843127	0.024893504060197254	0.18193122773200407	0.0076062860558454345	0.0018801150838876255	0.0007246256764941616	0.0005355485554943005	0.0	0.0009812574850726133	0.0019606418223966776
mbl_sickkids_2016	104.0909090909091	0.06168590069551871	0.0	0.0	0.013664519953459934	0.0	0.014061571528203965	0.007381505733417823	0.011620819530052885	0.005855185272472388	0.003399365774622891	0.006241068451856228	0.0	0.01379880726781384	0.02418296876483773	0.00217290793549612	0.0	0.011558431895089287	0.0	0.007084656265226846	0.025100380426794067	0.10085214318284752	0.0	0.010317780003010783	0.0	0.006300852742442845	0.007571510174688025	0.020629519768153064	0.008078622736203496	0.005113296493410616	0.0037097726446922723	0.042579875847582056	0.009738173302255682	0.009605651478363285	0.006332825964176159	0.0	0.017784406187468123	0.01213656191049095	0.01797851182634599	0.016490006097683852	0.0	0.0033314061202216138	0.01785956710955106	0.003785885214177409	0.0	0.003219943765582159	0.03915790526457122	0.0019986536298917594	0.0	0.004547806146110227	0.004646223135452795	0.006477677056316136	0.013822135823994023	0.0076002475042290345	0.0015927789249805023	0.002110513621157407	0.0	0.01621636502095468	0.0023575935670654548	0.008735081860261954	0.0	0.022727272727272728	0.003347717667293568	0.0	0.007575130885266636	0.0	0.003179542193767425	0.0	0.01924449017908557	0.0	0.02117514258706467	0.11974499455043035	0.0	0.005151228714123522	0.0	0.0027431594671216363	0.0057825139571844545	0.0	0.004583865614581798
mbn_mdacc_2013	53.19363395225464	0.034243882044331424	0.0037443638576601644	0.007059160809441739	0.00017887098102612866	0.011941230581336802	0.04057319921286009	0.007214165045272693	0.009251025756124569	0.003063065206878784	0.012565741994300314	0.00013916724022280372	0.005913811506374501	0.0009437260079207141	0.011648612561438043	0.0010427573281818771	0.0007361952246278978	0.008919320675814338	0.015814615978037943	0.0023003349270075833	0.0005295794774457788	0.030656475679571523	0.030707356119401452	0.009163993021130523	0.0026763415797172313	0.0011586124614519568	0.018906727277274722	0.003014098178968971	0.008441548812612783	0.004249739668044518	0.012995649866283543	0.007376762122157493	0.005029113799213521	0.0071077794745408075	0.001782855246884652	0.0017498796753037365	0.0014584210475642276	0.016321351144735794	0.019347898813356575	0.017620883500589737	0.003820268754646421	0.0007051817711814323	0.001381192843827109	0.0	0.009171218771576175	0.0006683005997295602	0.030534771806923672	0.0006183384706622767	0.002529827186040661	0.014717287814828114	0.006378516135955647	0.00934879742380318	0.000310685505630902	0.016277164882775443	0.0024059985195348708	0.002137747572767756	0.0	0.010144712360158323	0.011935826557639612	0.0021448723910777842	0.004338690305995131	0.030147291537601636	0.0022684309072119476	0.0	0.018367823705074234	0.013180950108258847	0.0013943981626630827	0.002360243095523277	0.06729303379316821	0.005045872019771016	0.025924080754001218	0.0830292077633198	0.011961339783963371	0.004090437584604277	0.003045590514845295	0.00023472264324910094	0.004829452662486831	0.016744022554721058	0.003699918213685726
mcl_idibips_2013	9.620689655172415	0.020778085022706828	0.0	0.0	0.0	0.0	0.05809520757916008	0.0	0.0	0.0	0.0	0.0	0.0	0.01958446797714335	0.07311051746859996	0.0	0.0	0.0032470128259617314	0.0	0.005232655365136966	0.008069430554778458	0.13672103173405836	0.030845231430384253	0.021445318822133904	0.0	0.0	0.007286363473706173	0.013636913796263413	0.0025516291796096	0.010515944615205794	0.0	0.01263683084202501	0.0	0.0	0.004688761224963817	0.0	0.0	0.0	0.0	0.024308181853792726	0.0	0.006551134933667276	0.0	0.0	0.0	0.005968536929710196	0.022818608900289826	0.0	0.0	0.012690499184618443	0.0	0.007824483911535621	0.0	0.013852071532042449	0.0	0.010208909182728609	0.0	0.0	0.005904826569408903	0.006863459280926831	0.017818862353639005	0.04204468947058592	0.0	0.0	0.0	0.037308877303575	0.04085458055028878	0.018425597596757128	0.023427987531373103	0.00713424168999869	0.002303282238453862	0.21098735699652743	0.015654939139667378	0.0	0.008536427412068138	0.0	0.0	0.0	0.0
mds_mskcc_2020	10.742242242242241	0.021066670062992156	0.0007856707630698806	0.0049212432963507005	0.00996770049627943	0.0011705419199675219	0.02772598476286396	0.001781097721696417	0.0110145091428284	0.0015108256376488265	0.007038007942733097	0.007124606253144796	0.005964502077338319	0.02049131110656685	0.05372537972744497	0.0005117101836273551	0.00037502687781034154	0.01834042421365765	0.005363200051324852	0.0005534377046957702	0.0026369612379839123	0.08981301891363949	0.011598644910865792	0.00935827749159867	0.007320790525342247	0.002349788627183094	0.027516603103433922	0.0062208255687037865	0.007848411131619593	0.008838219387503097	0.009437707029392724	0.012579354724160774	0.0030503430438922285	0.009386397705003794	0.014809683376672373	0.00271214911282203	0.003107408012655912	0.028741853137103836	0.017732354346788937	0.029475112436846237	0.0004612910631863687	4.686518093976456e-05	0.003673591813674372	0.0004486755946824963	0.007321795336913379	0.004125122722140753	0.022943921379640415	0.00150956334965561	0.002540249463613588	0.022284139755359724	0.0007667272428234324	0.016919148490224627	0.0004490283219156761	0.018970190939695132	0.0027218143445914083	0.010272446130525298	0.0004078306782690054	0.026877364795098446	0.056240162708470494	0.007042335686017618	0.005621087495991851	0.012265218069219012	0.0005806368843657134	0.0	0.0060366272874419254	0.02157646908815875	0.006364939792005336	0.003990985775900086	0.00835953669221302	0.0013262171431932628	0.026320678095715328	0.14446706026215983	0.010988439109644352	0.0031377215278823906	0.003228133733203355	0.00010785560789218811	0.00033457258022782206	0.002792953831003594	0.011834305206397479
mel_dfci_2019	893.4375	0.023124090838339634	0.002112552820284587	0.0012143864374910814	0.000983534652815798	0.0	0.02168498425371056	0.2793086698857657	0.2619625732415928	0.0	0.0035970369201194486	0.0	0.0	0.001891245178584118	0.08845987916352167	0.0	0.000832841207389868	0.017287724283683796	0.0004783104181033472	0.0017888020236647548	0.0	0.014861631133959299	0.0014844304513357985	0.00046761624966671457	0.000761427280364625	0.005755969243538398	0.00514615766434599	0.001644290823032257	0.001526943318703048	0.0008619401864866619	0.009230695021054985	0.0012184550236028395	0.0006657803333306951	0.0	0.001535693693948943	0.0	0.0011853080564615235	0.008023213118056498	0.00564610954358393	0.0023614846318202568	0.0	0.0	0.0005948908314854035	0.0005417151131579535	0.0	0.0024718486591975473	0.003017384882901068	0.0	0.0009685906352495834	0.0027546972585407673	0.0009129717231542854	0.0006952567568368333	0.000656083424898543	0.005881485403060983	0.0	0.0	0.0005553190441607062	0.00734647705004886	0.005404008460523333	0.0009317921382277222	0.0047358238525653995	0.001038809152613943	0.001509258322577014	0.0	0.0005783607745520639	0.005928191951306762	0.0	0.0	0.001479684107818604	0.0	0.006976163071834913	0.044210435555541105	0.0009756905770421091	0.0016678198952899653	0.0	0.0	0.0	0.0004970201175419187	0.0
mel_mskimpact_2020	25.425872093023255	0.0017327531570588827	0.009134905726498527	0.0	0.0001632393865146715	0.0	0.003309809659857738	0.18940869521218326	0.31958751612972197	0.008047392741630311	0.007467134198180398	0.001401777240827776	0.0008698200583901369	0.0036353937643176133	0.09992077363463432	0.00014736866379399708	0.0005855410068690378	0.0178246094553435	0.0026678459160348	0.0009979540524885872	0.0012870051949746839	0.006441052459819309	0.004609322324946873	0.001852107280088035	0.0047038342533663674	0.0017604519814717254	0.04017303042613175	0.004127366752457396	0.0035959590286405796	0.008168364443144508	0.015284488659127638	0.00042449764866405956	0.015607624551123253	0.000531961687309862	0.0007919773272666389	0.0006797878472118427	0.0009801559539619447	0.023063561231811216	0.03221498979567782	0.0019692188156330906	0.0002846200549777183	0.0	0.0006268138011822148	0.0	0.000735108358384705	0.0015368580533126773	0.0010071630714118443	0.0004086442650148546	0.0012214993995315491	0.012873204112255614	8.876677825260102e-05	0.0011107217299096861	0.0	0.0011034997084053214	0.0005939659421711247	0.0002682805501043432	0.0003170048251383477	0.012605911389408031	0.006512351236853966	0.004951375920019358	0.002764534500973445	0.0017851251497534443	0.0	0.00021463414743109446	0.0012068520511838618	0.008624620779090236	0.0009011531937419099	0.0032899509892045683	0.00361915932101749	0.0005737035582244476	0.0007910700085537633	0.0513768311685951	0.00031491938199959795	0.0	0.001960331221614196	0.0	0.0	0.0006181016209826875	0.0018298870732897544
